id,category,product_url,name,ingredients
1,Anti-aging,https://www.ewg.org/skindeep/products/1043709-Shaklee_Pomifera_Rose_AntiAging_Serum_and_Complete_Moisturizer/,Shaklee Pomifera Rose: Anti-Aging Serum and Complete Moisturizer,"Maclura Pomifera (Osage Orange) Seed Oil, [[DISCLOSED FRAGRANCE]]**, Geraniol, d-Limonene **COMPONENTS: Lavender Oil, Lavandin Oil, Coriander Seed Oil, Rosemary Oil, Eucalyptus Oil"
2,Anti-aging,https://www.ewg.org/skindeep/products/770582-Vermont_Skincare_Company_Moisturizer_6_M6/,Vermont Skincare Company Moisturizer 6 (M6),"*Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil *, Simmondsia Chinensis (Jojoba) Oil *, Prunus Amygdalus Dulcis (Sweet Almond) Oil *, Ricinus Communis (Castor) Oil *,  Boswellia Cartaeri (Frankincense) Oil, Lavandula Augustifolia (Lavender) Oil, Pelargonium Graveolens (Geranium) Oil,  Cananga Odorata (Ylang Ylang) Oil"
3,Anti-aging,https://www.ewg.org/skindeep/products/818760-isoi_Bulgarian_Rose_Intensive_Lifting_Spot/,isoi Bulgarian Rose Intensive Lifting Spot,"Water, Glycerin, Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Macadamia Ternifolia Seed Oil, Cetearyl Alcohol, Glyceryl Stearate, Pentaerythrityl Tetraisostearate, Stearic Acid, Arachidyl Alcohol, Betaine, Trehalose, Polyglyceryl-3 Methylglucose Distearate, Rosa Damascena Flower Oil, Butyrospermum Parkii (Shea) Butter, Xanthan Gum, Behenyl Alcohol, Arachidyl Glucoside, Rosa Damascena Flower Water, Adenosine, Panthenol, Coptis Chinensis Root Extract, Sodium Hyaluronate, Allantoin, Palmitoyl Tripeptide-5, Castanea Crenata (Chestnut) Shell Extract, Malpighia Emarginata (Acerola) Fruit Extract, Corchorus Olitorius Leaf Extract, Brassica Oleracea Italica (Broccoli) Extract, Rosmarinus Officinalis (Rosemary) Extract, Melaleuca Viridiflora Leaf Oil, Chamomilla Recutita (Matricaria) Flower/Leaf Extract, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract"
4,Anti-aging,https://www.ewg.org/skindeep/products/710966-Vikas_Essentials_Antiwrinkle_Serum/,Vika's Essentials Anti-wrinkle Serum,"Sweet Almond Oil (Prunus amygdalus dulcis)*, Evening Primrose Oil (Oenothera biennis)*, Lavender Oil (Lavandula angustifolia)*, Rose Oil (Rosa damascena)*, Myrrh Oil (Commiphora myrrha)*, Frankincense Oil (Boswellia frereana)*, Patchouli Oil (Pogostemon cablin)*, Carrot Seed Oil (Daucus carota)*"
5,Anti-aging,https://www.ewg.org/skindeep/products/514904-Sally_Bs_Skin_Yummies_Daytime_Antioxidant_Serum/,Sally B's Skin Yummies Daytime Antioxidant Serum,"Sodium Hyaluronate, Caprylic/Capric Triglyceride, Organic Rose Flower Water, Organic Nigella sativa (Black Cumin) Seed Oil, Organic Calendula Officinalis Flower Extract, Organic Olea Europaea (Olive) Leaf Extract, Organic Hamamelis Virginiana (Witch Hazel) Water, Organic Helichrysum Stoechas Extract, Organic Camellia sinensis (Green Tea) Leaf Extract, Organic Citrus aurantium (Neroli) Oil, Leuconostoc/Radish Root Ferment Filtrate, Tocopherols, Organic Lecithin, Xanthum Gum, Organic Aloe Barbadensis Leaf Juice, Organic Pelargonium Graveolens (Geranium) Oil, Organic Lavandula officinalis (Lavender) Oil, Potassium Sorbate"
6,Anti-aging,https://www.ewg.org/skindeep/products/8904964-Crunchi_AGEDEFYING_BODY_TREATMENT/,CRUNCHI AGE-DEFYING BODY TREATMENT,"Water, Mangifera Indica (Mango) Seed Butter, Glycerin, Cetearyl Olivate, Caprylic/Capric Triglyceride, Glyceryl Stearate, Sorbitan Olivate, Glyceryl Caprylate, Cetearyl Alcohol, Citrus Aurantium Dulcis (Orange) Oil, Tripeptide-29, Argania Spinosa (Argan) Kernel Oil, Squalane, Niacinamide (Vitamin B3), Sodium Hyaluronate, Tetrahexyldecyl Ascorbate (Vitamin C), Candelilla Cera, Caprylhydroxamic Acid, Santalum Spicata (Australian Sandalwood) Wood Oil, Leuconostoc/Radish Root Ferment Filtrate, Tocopherol, 1,2-Hexanediol, Xanthan Gum, Citral, Farnesol, Limonene, Linalool"
7,Anti-aging,https://www.ewg.org/skindeep/products/1063341-DIME_Beauty_Dark_Spot_Corrector/,DIME Beauty Dark Spot Corrector,"Water, Glycerin, Niacinamide, Bellis Perennis (Daisy) Flower Extract, Pentylene Glycol, Tranexamic Acid, Lactococcus Ferment Lysate, 1,2-Hexanediol, Squalane, Sodium Polyacryloyldimethyl Taurate, Xanthan Gum, Hydroxyacetophenone, Dimethicone, Sclerotium Gum, Lecithin, Pullulan, Pyrus Malus (Apple) Fruit Extract, Tetrasodium Glutamate Diacetate, Diglucosyl Gallic Acid, Silica, Aloe Barbadensis Leaf Juice, Dunaliella Salina Extract"
8,Anti-aging,https://www.ewg.org/skindeep/products/1003280-ATTITUDE_Oceanly_PhytoAge_Night_Cream/,ATTITUDE Oceanly Phyto-Age Night Cream,"Helianthus annuus (sunflower) seed wax, butyrospermum parkii (shea) butter, jojoba esters, glycerin, oenothera biennis (evening primrose) oil, oleyl lactate, argania spinosa (argan) kernel oil, undecane, caprylic/capric triglycerides, tridecane, dicaprylyl ether, aqua/water/eau, olus oil, myrica cerifera (bayberry) fruit wax, behenyl behenate, zea mays (corn) starch, polyhydroxystearic acid, sucrose laurate, sucrose stearate, acacia decurrens flower wax, polyglycerin-3, euphorbia cerifera (candelilla) wax, glycogen, hydrolyzed soy protein, nasturtium officinale (watercress) extract, rice amino acids, rosmarinus officinalis (rosemary) leaf extract, caprylhydroxamic acid, glyceryl caprylate, hydrolyzed adansonia digitata (baobab) seed extract, proline"
9,Anti-aging,https://www.ewg.org/skindeep/products/1030092-Kleem_Organics_Neck__Decollete_Firming_Cream/,Kleem Organics Neck & Decollete Firming Cream,"Aloe Barbadensis Leaf Juice, Aqua, Cassia Angustifolia Seed Polysaccharide, Isopropyl Palmitate, Helianthus Annuus Oil, Glyceryl Stearate SE, Cetyl Alcohol, Stearic Acid, Glycerin, Butyrospermum Parkii Butter, Simmondsia Chinesis Oil, Panthenol, Tocopherol Acetate, Camelia Sinensis Extract, Resina Propoli Extract, Xanthane Gum, Dehydroacetic Acid, Benzyl Alcohol, Tetrasodium Glutamate Diacetate, Rose Ether, Ethylhexylglycerin"
10,Anti-aging,https://www.ewg.org/skindeep/products/1063348-DIME_Beauty_TBT_Cream/,DIME Beauty TBT Cream,"Water, Ammonium Acryloyldimethyltaurate/VP Copolymer, Behenyl Alcohol, Dimethicone, Caprylic/Capric Tiglyceride, Cetearyl Alcohol, Dimethicone Crosspolymer, Glycerin, Glyceryl Stearate, Pentylene Glycol, 1,2-Hexanediol, Isododecane, Linoleic Acid, Caprylic/Capric/Succinic Triglyceride, Octadecene, Olea Europaea (Olive) Oil Unsaponifiables, Orobanche Rapum Extract, Phospholipids, Phytosterols, Polyglyceryl-6 Behenate, Polyglyceryl-6 Stearate, Propanediol, Pyrus Malus (Apple) Fruit Extract, Caprylic/Capric/Myristic/Stearic Triglyceride, Stearyl Dimethicone, Hydroxyacetophenone, Bakuchiol, Cetyl Ricinoleate, Tetrasodium Glutamate Diacetate, Tocopherol, Xanthan Gum"
