id,category,product_url,name,ingredients
1,Mask,https://www.ewg.org/skindeep/products/1080540-CURLS_Hair_Under_There_Strengthen_Me_Moisture_Mask/,Curls Hair Under There Strengthen Me Moisture Mask,"Water, Glycine Soja (Soybean) Oil, Ethylhexyl Palmitate, Behentrimonium Methosulphate, Cetearyl Alcohol, Glyceryl Stearate SE, Behentrimonium Chloride, Glyceryl Stearate, Polysorbate 60, Cetyl Alcohol, Panthenol, Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Calendula Officinalis Extract, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Rice Amino Acids, Propanediol, Polysorbate 20, Fragrance, Phenoxyethanol, Caprylyl Glycol"
2,Mask,https://www.ewg.org/skindeep/products/882396-St_Ives_Hydrating_Hydrogel_Eye_Mask_Cactus_Water__Hibiscus_2018_formulation/,"St. Ives Hydrating Hydrogel Eye Mask, Cactus Water & Hibiscus (2018 formulation)","WATER (AQUA), DIPROPYLENE GLYCOL, GLYCERIN, CHONDRUS CRISPUS (CARRAGEENAN) POWDER, CERATONIA SILIQUA GUM, CELLULOSE GUM, XANTHAN GUM, PHENOXYETHANOL, CHLORPHENESIN, GLUCOMANNAN, PEG-60 HYDROGENATED CASTOR OIL, POTASSIUM CHLORIDE, DISODIUM EDTA, SODIUM POLYACRYLATE, FRAGRANCE (PARFUM), HIBISCUS SABDARIFFA FLOWER EXTRACT, CEREUS GRANDIFLORUS (CACTUS) FLOWER EXTRACT."
3,Mask,https://www.ewg.org/skindeep/products/875378-Yes_to_Blueberries_Yesto_Superblueberries_Skin_Recharching_Sleeping_Mask_2019_formulation/,Yesto Superblueberries Skin Recharching Sleeping Mask (2019 formulation),"WATER, CAPRYLIC/CAPRIC TRIGLYCERIDE, BUTYROSPERMUM PARKII (SHEA BUTTER, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, GLYCERYL STEARATE, GLYCERIN, C10-18 TRIGLYCERIDES, POTASSIUM CETYL PHOSPHATE, CETYL ALCOHOL, TOCOPHEROL, GLYCINE SOJA (SOYBEAN) OIL, OLEA EUROPAEA (OLIVE) FRUIT OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, ALOE BARBADENSIS LEAF JUICE, THEOBROMA CACAO (COCOA) SEED BUTTER, VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, LACTOSE, MILK PROTEIN, BIFIDA FERMENT LYSATE, GLYCERYL LAURATE, PHENETHYL ALCOHOL, XANTHAN GUM, GLYCERYL LAURATE, POTASSIUM SORBATE, PHENOXYETHANOL, FRAGRANCE, BENZYL BENZOATE, LIMONENE, LINALOOL."
4,Mask,https://www.ewg.org/skindeep/products/867582-Sooae_New_York_Sooae_Newyork_Panda_Eye_Brightening_Mask_2019_formulation/,Soo'ae Newyork Panda Eye Brightening Mask (2019 formulation),"WATER, GLYCERIN, NIACINAMIDE, CERATONIA SILIQUA GUM, BUTYLENE GLYCOL, CHONDRUS CRISPUS (CARRAGEENAN) EXTRACT, PHENOXYETHANOL, ALGIN, PEG-60 HYDROGENATED CASTOR OIL, BAMBUSA VULGARIS EXTRACT, ALLANTOIN, PANTHENOL, SCUTELLARIA BAICALENSIS ROOT EXTRACT, ETHYLHEXYLGLYCERIN, 1,2-HEXANEDIOL, CAMELLIA SINENSIS LEAF EXTRACT, ARTEMISIA PRINCEPS LEAF EXTRACT, HOUTTUYNIA CORDATA EXTRACT, CAPRYLYL GLYCOL, DISODIUM EDTA, FRAGRANCE, LACTOBACILLUS FERMENT, CITRUS JUNOS FRUIT EXTRACT, DEXTRIN, DIPOTASSIUM GLYCYRRHIZATE, CENTELLA ASIATICA EXTRACT, RICINUS COMMUNIS (CASTOR) SEED OIL, TRIFOLIUM PRATENSE (CLOVER) LEAF EXTRACT, ENTEROMORPHA COMPRESSA EXTRACT, GELIDIUM CARTILAGINEUM EXTRACT, MEDICAGO SATIVA (ALFALFA) EXTRACT, UNDARIA PINNATIFIDA EXTRACT, SARGASSUM FUSIFORME EXTRACT, LAMINARIA JAPONICA EXTRACT, POTASSIUM HYDROXIDE, MANNAN, SODIUM HYALURONATE, HYDROLYZED COLLAGEN"
5,Mask,https://www.ewg.org/skindeep/products/1004376-Clean__Clear_Night_Relaxing_and_Hydrating_Jelly_Eye_Mask_Sheet/,Clean & Clear Night Relaxing and Hydrating Jelly Eye Mask Sheet,"WATER, DIPROPYLENE GLYCOL, PROPANEDIOL, CERATONIA SILIQUA (CAROB) GUM, XANTHAN GUM, CHONDRUS CRISPUS EXTRACT, PHENOXYETHANOL, CHLORPHENESIN, PEG-60 HYDROGENATED CASTOR OIL, POTASSIUM CHLORIDE, FRAGRANCE, DISODIUM EDTA, HYDROLYZED HYALURONIC ACID, TREMELLA FUCIFORMIS SPOROCARP EXTRACT, PLUKENETIA VOLUBILIS SEED OIL, SUCROSE COCOATE, SODIUM HYALURONATE, TOCOPHEROL, EXT. VIOLET 2"
6,Mask,https://www.ewg.org/skindeep/products/1001240-Agellum_Masque_Botanical_Enzyme/,"Agellum Masque, Botanical Enzyme","Aqua (Deionized Water), Aloe Barbadensis (Organic Aloe) Leaf Juice, Helianthus Annuus (Organic Sunflower) Seed Oil, Glyceryl Stearate, Glycerin (Vegetal Glycerin), Ethylhexyl Palmitate, Organic Cocos Nucifera Oil (Coconut Oil), Theobroma Cacao (Organic Cocoa) Seed Butter, Cetyl Alcohol, Potassium Stearate, Beeswax, Simmondsia Chinensis (Organic Jojoba) Seed Oil, Panthenol (Vitamin B5), Sesamum Indicum (Sesame Seed) Seed Oil, Calophyllum Inophyllum Seed Oil (Tamanu), Macadamia Ternifolia Seed Oil (Macadamia Nut Oil), Borago Officinalis Seed Oil (Borage), Linum Usitatissimum Seed Oil (Flax Seed Oil), Oenothera Biennis Oil (Organic Evening Primrose Oil), Rosa Canina Fruit Oil (Organic Rosehip Seed Oil), Camphor, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Salix Alba Bark (Willow Bark) Extract, Citrus Aurantium Dulcis (Orange) Flower Extract, Honey, Lavandula Angustifolia (Lavender) Extract, Spirulina Maxima Extract, Methyl Salicylate (Wintergreen Essential Oil), Cucurbita Pepo Fruit Extract (Pumpkin), Carica Papaya Fruit Extract (Papaya), Glycolic Acid, Ganoderma Lucidum (Organic Reishi) Extract, Lavandula Angustifolia Extract (Lavender), Organic Calendula Officinalis Extract (Calendula Extract), Chamomilla Recutita Extract (Chamomile), Arnica Montana Extract (Organic Arnica), Organic Centella Asiatica Extract (Gotu Kola Extract), Phenoxyethanol, Sodium Carbomer, Ethylhexylglycerin."
7,Mask,https://www.ewg.org/skindeep/products/8383458-Caudalie_Instant_Detox_by_Caudalie_for_Women__Face_Mask/,Instant Detox by Caudalie for Women - Face Mask,"AQUA/WATER/EAU, KAOLIN, BENTONITE, GLYCERIN*, ACACIA SENEGAL GUM*, XANTHAN GUM, BENZYL ALCOHOL, ALCOHOL*, SODIUM DEHYDROACETATE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL*, VITIS VINIFERA (GRAPE) FRUIT EXTRACT*, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL*, DEHYDROACETIC ACID, COFFEA ARABICA (COFFEE) SEED EXTRACT*, COFFEA ROBUSTA SEED EXTRACT*, CARBOMER, CUPRESSUS SEMPERVIRENS OIL*, SALVIA SCLAREA (CLARY) OIL*, COMMIPHORA MYRRHA OIL*, SANTALUM ALBUM (SANDALWOOD) OIL*, ANTHEMIS NOBILIS FLOWER OIL*, PAPAIN*, PETROSELINUM CRISPUM (PARSLEY) SEED OIL*, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, SODIUM BENZOATE, LACTIC ACID, POTASSIUM SORBATE, ALGIN, SODIUM CITRATE, CITRIC ACID, CI 77491 (IRON OXIDES), CI 77499 (IRON OXIDES), LIMONENE, LINALOOL"
8,Mask,https://www.ewg.org/skindeep/products/952995-InstaNatural_Insta_Natural_Youth_Restoring_Exfoliating_Glycolic_Mask/,Insta Natural Youth Restoring Exfoliating Glycolic Mask,"CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL, GLYCERIN*, ALOE BARBADENSIS LEAF EXTRACT, AQUA, SILICA*, POLYGLYCERYL-10 LAURATE*, GLYCOLIC ACID, TETRAHEXYLDECYL ASCORBATE, CURCUMA LONGA (TURMERIC) ROOT OIL, CUCURBITA PEPO (PUMPKIN) SEED OIL, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, HESPERIDIN*, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT, CENTELLA ASIATICA EXTRACT, HIBISCUS ROSA-SINENSIS FLOWER EXTRACT, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, EUGENIA CARYOPHYLLUS (CLOVE) BUD OIL, CINNAMOMUM CASSIA LEAF OIL, CINNAMOMUM ZEYLANICUM BARK OIL, JUNIPERUS MEXICANA OIL, LAVANDULA HYBRIDA OIL, PIMENTA ACRIS (BAY) LEAF OIL, MYRISTICA FRAGRANS (NUTMEG) KERNEL OIL, PIMENTA OFFICINALIS (PIMENTO) LEAF OIL, ELETTARIA CARDAMOMUM SEED OIL, JASMINUM OFFICINALE (JASMINE) FLOWER EXTRACT, ZINGIBER OFFICINALE (GINGER) ROOT OIL, ANNATTO*, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, CAPRYLHYDROXAMIC ACID*, GLYCERYL CAPRYLATE*."
9,Mask,https://www.ewg.org/skindeep/products/1078252-Shescentit_Hair_Mask_Banana_Brulee_/,"SheScentIt Hair Mask, Banana Brulee","Water, Aloe Barbadensis Leaf Juice, Musa Sapientum (Banana) Extract, Salix Nigra (Black Willow) Bark, Chamaemelum Nobile (Roman Chamomile), Behentrimonium Methosulfate, Cetearyl Alcohol, Persea Gratissima (Avocado) Oil, Rosa Canina (Rose Hip Seed) Oil, Ricinus Communis (Castor) Oil, Vegetable Glycerin, Honey, Cholesterol, Theobroma (Cocoa Seed) Butter, Cetyl Alcohol, Prunus Amygdalus Dulsis (Sweet Almond) Oil, Orbygnia Oleifera (Babassu) Oil, Silk Peptides, DL Panthenol, Phenoxyethenol, Fragrance."
10,Mask,https://www.ewg.org/skindeep/products/5713515-Design_Essentials_Wash_Day_Deep_Moisture_Masque_Almond__Avocado/,"Design Essentials Wash Day Deep Moisture Masque, Almond & Avocado","Deionized Water, Propylene Glycol, Glycerin, Cetyl Alcohol, Isopropyl Myristate, Behentrimonium Methosulfate, Cetearyl Alcohol, Acetamide MEA, Quaternium-91, Cetrimonium Methosulfate, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, Chlorphenesin, Cetrimonium Chloride, Polyquaternium 10, Benzyl Benzoate, Citral, Geraniol, Linalool, Limonene, Persea Gratissima (Avocado) Oil, Prunus Amygaldus Dulcis (Sweet Almond) Oil"
