id,category,product_url,name,ingredients
1,Pore_strips,https://www.ewg.org/skindeep/products/998740-Scaraway_Day__Night_Scar_Treatment_Kit_Clear_Silicone_Scar_Sheets__Silicone_Scar_Gel/,Scaraway Day & Night Scar Treatment Kit Clear Silicone Scar Sheets & Silicone Scar Gel,"GEL INGREDIENTS: POLYSILOXANES, SILICON DIOXIDE"
2,Pore_strips,https://www.ewg.org/skindeep/products/8723578-Absolute_New_York_Pore_Strips_Charcoal_/,"Absolute New York Pore Strips, Charcoal","Water, PVP, VP/VA Copolymer, PEG-12 Dimethicone, Glycerin, CI 77499, Kaolin, Propylene Glycol, Phenoxyethanol, Charcoal Powder, Butylene Glycol, 1,2-Hexanediol"
3,Pore_strips,https://www.ewg.org/skindeep/products/1015714-Sio_Browlift_Reusable_Wrinkle_Smoothing_Patches/,Sio Browlift Reusable Wrinkle Smoothing Patches,"DIMETHICONE, SILICA, HYDROGEN DIMETHICONE"
4,Pore_strips,https://www.ewg.org/skindeep/products/1015699-Sio_Chest_Reusable_Wrinkle_Smoothing_Patches/,Sio Chest Reusable Wrinkle Smoothing Patches,"DIMETHICONE, SILICA, HYDROGEN DIMETHICONE"
5,Pore_strips,https://www.ewg.org/skindeep/products/927478-Boscia_Pore_Purifying_Strips_Black_Charcoal__2020_formulation/,"Boscia Pore Purifying Strips, Black Charcoal  (2020 formulation)","Polyacrylic Acid, Sodium Polyacrylate, Water/Aqua/Eau, Silica, Hydrogenated Poly (C6-12Olefin), Laureth-2, Charcoal Powder, Paeonia Suffruticosa Root Extract, Hamamelis Virginiana Extract, Menthol, Butylene Glycol, PEG-10 Laurate"
6,Pore_strips,https://www.ewg.org/skindeep/products/884071-Global_Beauty_Care_Cleansing_Nose_Strips_Charcoal_2018_formulation/,"Global Beauty Care Cleansing Nose Strips, Charcoal (2018 formulation)","VP/VA COPOLYMER, GLYCERYL STEARATE, WATER, HAMAMELIS VIRGINIANA (WITCH HAZEL) EXTRACT, GLYCERIN, BENTONITE, SQUALANE, CHARCOAL POWDER, TITANIUM DIOXIDE, KAOLIN, PHENOXYETHANOL."
7,Pore_strips,https://www.ewg.org/skindeep/products/414357-Bior_Bior_Nose__Face_Deep_Cleansing_Pore_Strips_Blackhead_Remover_12_Nose__12_Face_Strips/,"Bior Nose + Face Deep Cleansing Pore Strips, Blackhead Remover, 12 Nose + 12 Face Strips","POLYQUATERNIUM-37, SILICA, WATER, GLYCERIN, POLYSILICONE-13, PEG-12 DIMETHICONE, ALUMINUM HYDROXIDE, BUTYLENE GLYCOL, STEARYL GLYCYRRHETINATE, HAMAMELIS VIRGINIANA (WITCH HAZEL) LEAF EXTRACT, TITANIUM DIOXIDE"
8,Pore_strips,https://www.ewg.org/skindeep/products/1001808-Spa_Scriptions_Spascriptions_Cleansing_Nose_Strips_Charcoal__Vitamin_C/,"Spascriptions Cleansing Nose Strips, Charcoal & Vitamin C","AQUA/WATER/EAU, POLYVINYL ALCOHOL, GLYCERIN, PROPYLENE GLYCOL, DIPOTASSIUM GLYCYRRHIZATE, CHARCOAL POWDER, 3-O-ETHYL ASCORBIC ACID"
9,Pore_strips,https://www.ewg.org/skindeep/products/1017284-Starface_Lift_Off_Pore_Strips/,Starface Lift Off Pore Strips,"ALCOHOL DENAT., VINYL CAPROLACTAM/VP/ DIMETHYLAMINOETHYLMETHACRYLATE COPOLYMER, WATER, SILICA, PEG-12 DIMETHICONE, CI 77891 (TITANIUM DIOXIDE), PEG-12, ALLANTOIN, ALOE BARBADENSIS LEAF EXTRACT, BUTYLENE GLYCOL, 1,2-HEXANEDIOL, HAMAMELIS VIRGINIANA (WITCH HAZEL) LEAF EXTRACT"
10,Pore_strips,https://www.ewg.org/skindeep/products/917905-Biore_Blue_Agave_Deep_Cleansing_Pore_Nose_Strips_2019_formulation/,Biore Blue Agave Deep Cleansing Pore Nose Strips (2019 formulation),": POLYQUATERNIUM-37, SILICA, WATER, GLYCERIN, POLYSILICONE-13, PEG-12 DIMETHICONE, ALUMINUM HYDROXIDE, AGAVE TEQUILANA LEAF EXTRACT, TITANIUM DIOXIDE."
