id,category,product_url,name,ingredients
1,Skin_fading__lightener,https://www.ewg.org/skindeep/products/924940-Bamboobies_Stretch_Mark__Scar_Balm_2020_formulation/,Bamboobies Stretch Mark + Scar Balm (2020 formulation),"OLEA EUROPAEA (OLIVE) FRUIT OIL, BEESWAX, COCOS NUCIFERA (COCONUT) OIL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL*, TOCOPHEROL (VITAMIN E), SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, ROSA MOSCHATA SEED OIL, BUTYROSPERMUM PARKII (SHEA) BUTTER*, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT*, CALENDULA OFFICINALIS FLOWER EXTRACT*, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT*, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL*"
2,Skin_fading__lightener,https://www.ewg.org/skindeep/products/917539-Alikay_Naturals_Majestic_Beauty_Stretch_Mark__Scar_Remover_2019_formulation/,Alikay Naturals Majestic Beauty Stretch Mark & Scar Remover (2019 formulation),": BUTYROSPERMUM PARKII (SHEA BUTTER), DROMAIUS NOVAE-HOLLANDIAE (EMU) OIL, ROSA AFFINIS RUBIGINOSA (ROSEHIP) OIL, TOCOPHEROL (VITAMIN E) TRITICUM VULGARE (WHEAT) GERM OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT."
3,Skin_fading__lightener,https://www.ewg.org/skindeep/products/855764-100_Pure_Dark_Spot_Remover/,100% Pure Dark Spot Remover,"ALOE BARBADENSIS (ALOE JUICE) LEAF EXTRACT, RICE FERMENT FILTRATE (SAKE), MYRICA CERIFERA (BAYBERRY) FRUIT EXTRACT, TRICHOLOMA MATSUTAKE (MATSUTAKE MUSHROOM) EXTRACT, LOOFAH CYLINDRICA (VEGETABLE CELLULOSE), CITRUS AURANTIFOLIA (LIME) FRUIT EXTRACT, ASCORBYL PALMITATE (VITAMIN C), GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, PAPAIN (PAPAYA PAPAIN) EXTRACT, CARRAGEENAN (CHONDRUS CRISPUS), ASPARAGOPSIS ARMATA (RED ALGAE) EXTRACT, ROSA CANINA (ROSEHIP) SEED OIL, XANTHAN GUM, LONICERA CAPRIFOLIUM FLOWER AND LONICERA JAPONICA (HONEYSUCKLE) FLOWER."
4,Skin_fading__lightener,https://www.ewg.org/skindeep/products/520426-ARCONA_Brightening_Drops_Skin_Brightening_Serum/,"ARCONA Brightening Drops, Skin Brightening Serum","Hamamelis Virginiana Extract (Witch Hazel), Azelaic Acid, Gallic Acid, Lactic Acid, Ascorbic Acid (Vitamin C) (Vitamin C), Kojic Acid, Arbutin, Red Raspberry (Rubus Idaeus) Extract (Rubus Idaeus), Bilberry (Vaccinium Myrtillus) Extract, Grapefruit Seed Extract (Citrus Gandis)"
5,Skin_fading__lightener,https://www.ewg.org/skindeep/products/1040915-8_Sheep_Organics_8Sheep_organics_20_Glycolic_Acid_Resurfacing_Cream/,8Sheep organics 20% Glycolic Acid Resurfacing Cream,"Purified Water, Glycolic Acid, High Oleic Sunflower Oil, L-Ascorbic Acid, Lauryl Laurate, Glycerin, Allantoin, Panthenol, Sodium Hyaluronate, Glyceryl Stearate, Cetearyl Alcohol, Stearoyl Lactylate, Xanthan Gum, Sodium Dehydroacetate, Potassium Sorbate"
6,Skin_fading__lightener,https://www.ewg.org/skindeep/products/988430-Caudalie_Premier_Cru_Dark_Circle_Correcting_Eye_Cream/,Caudalie Premier Cru Dark Circle Correcting Eye Cream,"aqua/water/eau, mica, coco-caprylate/ caprate, ethylhexyl stearate, glycerin, butylene glycol, bis-behenyl/isostearyl/phytosteryl dimer dilinoleyl dimer dilinoleate, silica, pentylene glycol, propanediol, cetearyl alcohol, cetearyl glucoside, persea gratissima (avocado) oil, hydrogenated olive oil stearyl esters, palmitoyl grapevine shoot extract, palmitoyl grape seed extract, oleic acid, hydrogenated avocado oil, potassium cetyl phosphate, tocopheryl acetate, carbomer, ci 77891 (titanium dioxide), terminalia arjuna extract, helianthus annuus (sunflower) seed oil, sodium dehydroacetate, ci 77491 (iron oxides), hydrolyzed hyaluronic acid, magnolia grandiflora bark extract, xanthan gum, tocopherol, adenosine, lecithin, sodium phytate, gleditsia triacanthos seed extract, caprylyl glycol, paeonia lactiflora root extract. (317/005)"
7,Skin_fading__lightener,https://www.ewg.org/skindeep/products/988595-Ren_Clean_Skincare_Radiance_Brightening_Dark_Circle_Eye_Cream/,Ren Clean Skincare Radiance Brightening Dark Circle Eye Cream,"Aqua (Water), Undecane, Glycerin, Caprylic/Capric Triglyceride, Tridecane, Polyglyceryl-3 Polyricinoleate, Polyglyceryl-4 Isostearate, Shea Butter Ethyl Esters, Avena Sativa (Oat) Kernel Oil, Sorbitol, Jojoba Esters, Xylitylglucoside, Silica, Sodium Chloride, Anhydroxylitol, Coco-Caprylate/Caprate, Helianthus Annuus Seed Wax, Propanediol, Benzyl Alcohol, Hydroxyacetophenone, Stearalkonium Hectorite, Xylitol, Glycogen, Polyglyceryl-3 Ricinoleate, Disteardimonium Hectorite, Sodium Hyaluronate, Propylene Carbonate, Glucose, Sambucus Nigra Flower Extract, Acacia Decurrens Flower Wax, Polyglycerin-3, Tocopherol, Citric Acid"
8,Skin_fading__lightener,https://www.ewg.org/skindeep/products/9720436-No7_Laboratories_Dark_Spot_Correcting_Booster_Serum_with_Vitamin_C/,No7 Laboratories Dark Spot Correcting Booster Serum with Vitamin C,"Aqua (Water), Glycerin, Gluconolactone, 3-O-Ethyl Ascorbic Acid, Aluminum Starch Octenylsuccinate, Butylene Glycol, Polyacrylate Crosspolymer-6, Potassium Hydroxide, Phenoxyethanol, Ammonium Glycyrrhizate, Phyllanthus Emblica Fruit Extract, Propylene Glycol, Caprylyl Glycol, Sophora Angustifolia Root Extract, Hydroxypropyl Cyclodextrin, Ethylhexylglycerin, Tetrasodium EDTA, T-Butyl Alcohol, Morus Alba Leaf Extract."
9,Skin_fading__lightener,https://www.ewg.org/skindeep/products/1013313-Versed_Out_of_Sight_Dark_Spot_Gel/,Versed Out of Sight Dark Spot Gel,"Citrus Aurantium Dulcis (Orange) Fruit Water, Water/Aqua/eau, Aloe Barbadensis Leaf Juice, Niacinamide, Erythritol, Citric Acid, Tranexamic Acid, Propanediol, Kojic Acid, Sodium Hyaluronate, Glycyrrhiza Glabra (Licorice) Root Extract, Glycerin, Caesalpinia Spinosa Gum, Xanthan Gum, Sodium Phytate, Sodium Benzoate, Potassium Sorbate, Hydroxyacetophenone"
10,Skin_fading__lightener,https://www.ewg.org/skindeep/products/9230719-Hero_Cosmetics_Mighty_Patch_Micropoint_for_Dark_Spots_PostBlemish_Dark_Spot_Patch_8ct/,"Hero Cosmetics Mighty Patch Micropoint for Dark Spots, Post-Blemish Dark Spot Patch, 8ct","Sodium hyaluronate, water, niacinamide, butylene glycol, 3-o-ethyl ascorbic acid, kojic acid, tranexamic acid, glycyrrhiza uralensis (licorice) root extract, madecassoside, centella asiatica extract, pentylene glycol, 1,2-hexanediol, sodium dehydroacetate, phenoxyethanol."
