id,category,product_url,name,ingredients,status
1,Toners__astringents,https://www.ewg.org/skindeep/products/757086-Just_the_Goods_cleansing_vegan_toner_for_oilycombination_skin/,Just the Goods cleansing vegan toner for oily/combination skin,"alcohol-free hammamelis virginiana (witch hazel) water / hammamelis virginiana (eau d'hamamélis virginiana sans alcool) water, rosa damascena (rose) flower distillate, rosmarinus officinalis (rosemary/romarin) oil, melaleuca alternifolia (tea tree/arbre à thé) oil",scraped
2,Toners__astringents,https://www.ewg.org/skindeep/products/986214-Three_Ships_Awake_Rose_Hydrosol_Toner/,Three Ships Awake Rose Hydrosol Toner,"Rosa Damascena (Rose) Distillate, Aloe Barbadensis (Aloe Vera) Leaf Juice, Hamamelis Virginiana (Alcohol-Free Witch Hazel) Water, Glycerin, Rosa Canina (Rosehip Extract)",scraped
3,Toners__astringents,https://www.ewg.org/skindeep/products/998568-Be_Green_Bath__Body_Carrot__Calendula_Toner/,Be Green Bath & Body Carrot + Calendula Toner,"Hamamelis Virginiana (Witch Hazel) Hydrosol Water, Aqua (Distilled Water), Aloe Barbadensis (Aloe) Leaf Juice, Daucus Carota Sativa (Carrot) Root Extract, Calendula Officinalis (Calendula) Flower Extract, Oryza Sativa (Rice) Extract, Lavandula Angustifolia (Lavender) Extract,  Alchemilla Vulgaris (Lady's Mantle) Extract, Lactobacillus Ferment, Propanediol, Ethylhexyl Glycerin, Potassium Sorbate.",scraped
4,Toners__astringents,https://www.ewg.org/skindeep/products/815134-Brown_Lab_MildS_Daily_Peeling_Pads/,Brown Lab Mild-S Daily Peeling Pads,"Water, Dipropylene Glycol, Glycereth-26,  Butylene Glycol, Paeonia Suffruticosa Root Extract, Centella Asiatica Extract, 1,2 Hexanediol, Chamomilla Recutita (Matricaria) Flower Extract, Polyglyceryl-10 Laurate, Glyceryl Caprylate, Betaine Salicylate, Xanthan Gum, Glycerin, Ethylhexylglycerin, Salix Alba (Willow) Bark Extract, Disodium EDTA, Sodium Hyaluronate, [[DISCLOSED FRAGRANCE]]**, **COMPONENTS: Olea Europaea (Olive) Fruit Oil, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens Flower Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil",scraped
5,Toners__astringents,https://www.ewg.org/skindeep/products/707416-Whamisa_Organic_Flowers_Toner_Original/,Whamisa Organic Flowers Toner Original,"*Aloe Maculata Leaf Extract, *Chrysanthemum Morifolium Flower Extract, *Camellia Sinensis Leaf Extract, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinale (Dandelion) Rhizome/Root Ferment Filtrate, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, Galactomyces Ferment Filtrate, *Oryza Sativa (Rice) Extract, *Rhodiola Rosea Root Extract, *Brassica Oleracea Italica (Broccoli) Extract, *Cucumis Sativus (Cucumber) Fruit Extract, *Ethanol, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Geranium Maculatum Oil, Cymbopogon (Lemon Grass) Oil, p-Methoxybenzaldehyde, Hexyl acetate, Vanillin, Phenylacetic acid, gamma-Undecalactone.",scraped
6,Toners__astringents,https://www.ewg.org/skindeep/products/1063347-DIME_Beauty_Super_Skin_Toner_/,DIME Beauty Super Skin Toner,"Water, Hamamelis Virginiana (Witch Hazel) Extract, Propanediol, Glycerin, Hyaluronic Acid, Ubiquinone, Tocopherol, Ascorbyl Tetraisopalmitate, Aloe Barbadensis (Aloe Vera) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Salvia Officinalis (Sage) Extract, Cucumis Sativus (Cucumber) Fruit Extract, Citrus Sinensis (Blood Orange) Fruit Extract, Phenoxyethanol, Ethylhexylglycerin",scraped
7,Toners__astringents,https://www.ewg.org/skindeep/products/998569-Be_Green_Bath__Body_Pomegranate__White_Tea_Toner/,Be Green Bath & Body Pomegranate + White Tea Toner,"Rosa Damascena (Rose) Hydrosol Water,  Aqua (Distilled Water), Oryza Sativa (Rice) Extract, Camellia Sinesis (White Tea) Leaf Extract, Punica Grantum (Pomegranate) Fruit Extract, Centella Asiatica (Gotu Kola) Extract, Lactobacillus, Euterpe Oleracea (Acai) Fruit Extract, Propanediol, Ethylhexyl Glycerin, Potassium Sorbate.",scraped
8,Toners__astringents,https://www.ewg.org/skindeep/products/6393100-Crunchi_Clairilight_Facial_Essence/,CRUNCHI Clairilight® Facial Essence,"Water, Hamamelis Virginiana (Witch Hazel) Water, Glycerin, Propanediol, Musa Sapientum (Banana) Leaf/Trunk Extract, Sodium Gluconate, Sodium Levulinate, Alcohol, Lactic Acid, Lysolecithin, Sclerotium Gum, Glycolic Acid, Caprylhydroxamic Acid, Betula Alba Juice, Sodium Anisate, Vaccinium Myrtillus Fruit Extract, Pullulan, Xanthan Gum, Citric Acid, Saccharum Officinarum (Sugarcane) Extract, Sambucus Nigra Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Salix Alba (Willow) Bark Extract, Salix Alba (Willow) Leaf Extract, Acer Saccharum (Sugar Maple) Extract, Aloe Barbadensis Leaf Juice, Sodium Hyaluronate, Rosmarinus Officinalis (Rosemary) Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Camellia Sinensis Leaf Extract",scraped
9,Toners__astringents,https://www.ewg.org/skindeep/products/955581-Superbloom_Gentle_Purity_Toner/,Superbloom Gentle Purity Toner,"Aqua, Heptyl Glucoside, Coffea Arabica Seed Extract, Organic Aloe Barbadensis Leaf Juice, Passiflora Incarnata (Passion) Flower Extract, Citric Acid, Potassium Sorbate, [[DISCLOSED FRAGRANCE]]**. **COMPONENTS: Pelargonium Graveolens (Geranium) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Amyris Balsamifera Bark Oil, Anthemis Nobilis (Roman Chamomile) Flower Oil, Phenethyl Alcohol, Triethyl Citrate",scraped
10,Toners__astringents,https://www.ewg.org/skindeep/products/703875-Sea_Kind_Revive_Gentle_Facial_Toner/,Sea Kind Revive Gentle Facial Toner,"ASCOPHYLLUM NODOSUM SEAPLANT EXTRACT*, PURIFIED WATER, ALOE BARBADENSIS LEAF JUICE, GLYCERINE, POLYSORBATE, PANTHENOL, ALLANTOIN, MAGNESIUM ASCORBYL PHOSPHATE, ETHYL HEXYL GLYCERIN, CITRUS GRANDIS (GRAPEFRUIT) PEEL OIL**, AND LESS THAN .005 OF PHENOXYETHANOL.",scraped
