ingredient,product_frequency,variant_count
water,11236,17
glycerin,10524,7
phenoxyethanol,6587,21
ethylhexylglycerin,4701,17
xanthan gum,4609,8
citric acid,4387,4
butylene glycol,4157,10
sodium hyaluronate,4077,10
tocopherol,3432,5
caprylyl glycol,3407,11
disodium edta,3318,9
sodium benzoate,2945,3
potassium sorbate,2806,3
propanediol,2735,5
1,2705,1
caprylic capric triglyceride,2662,9
2-hexanediol,2640,11
sodium hydroxide,2479,5
panthenol,2288,4
tocopheryl acetate,2236,5
carbomer,2174,2
cetearyl alcohol,2100,4
niacinamide,1986,4
dimethicone,1933,3
allantoin,1890,4
fragrance,1889,3
glyceryl stearate,1772,12
limonene,1748,2
linalool,1741,5
polysorbate 20,1712,8
helianthus annuus sunflower seed oil,1695,13
aloe barbadensis leaf juice,1654,8
pentylene glycol,1615,2
sodium citrate,1613,6
squalane,1517,4
sodium chloride,1495,3
cetyl alcohol,1408,7
propylene glycol,1402,4
butyrospermum parkii shea butter,1384,13
simmondsia chinensis jojoba seed oil,1352,16
stearic acid,1270,2
fragrance parfum,1260,7
benzyl alcohol,1150,5
betaine,1123,3
camellia sinensis leaf extract,1058,7
silica,1044,2
hydroxyacetophenone,1016,8
chlorphenesin,982,7
acrylates c10-30 alkyl acrylate crosspolymer,979,16
lactic acid,971,2
parfum fragrance,955,2
lecithin,946,2
cocamidopropyl betaine,911,10
hydroxyethylcellulose,883,13
arginine,866,1
dipropylene glycol,862,3
alcohol,846,1
sodium pca,835,1
geraniol,834,5
sodium phytate,812,2
hexylene glycol,787,1
citronellol,768,2
chamomilla recutita matricaria flower extract,763,14
mica,760,2
caffeine,726,2
rosmarinus officinalis rosemary leaf extract,726,10
cocos nucifera coconut oil,706,2
salicylic acid,698,3
glyceryl caprylate,693,3
lavandula angustifolia lavender oil,686,12
decyl glucoside,685,5
titanium dioxide ci 77891,683,8
hyaluronic acid,682,1
glycyrrhiza glabra licorice root extract,680,8
sorbitan olivate,670,3
dipotassium glycyrrhizate,667,4
alcohol denat,666,2
kaolin,661,1
cucumis sativus cucumber fruit extract,657,7
leuconostoc radish root ferment filtrate,649,5
maltodextrin,647,3
glycolic acid,642,2
cyclopentasiloxane,636,3
aloe barbadensis leaf extract,635,6
centella asiatica extract,624,4
stearyl alcohol,621,2
peg-100 stearate,617,7
persea gratissima avocado oil,617,5
adenosine,611,2
ascorbic acid,598,2
olea europaea olive fruit oil,592,4
cetearyl olivate,585,1
peg-40 hydrogenated castor oil,583,7
trehalose,568,1
titanium dioxide,566,2
dehydroacetic acid,556,4
tromethamine,556,3
potassium hydroxide,548,1
tetrasodium edta,546,3
benzoic acid,542,2
hydrogenated lecithin,539,3
gluconolactone,536,1
vitis vinifera grape seed oil,532,7
citral,527,2
tetrasodium glutamate diacetate,527,4
tocopherol vitamin e,526,7
sorbitol,523,1
ceramide np,518,7
hydrolyzed hyaluronic acid,518,2
polysorbate 60,514,4
hydroxyethyl acrylate sodium acryloyldimethyl taurate copolymer,511,17
camellia sinensis green tea leaf extract,506,17
bisabolol,501,2
coco-glucoside,486,6
palmitoyl tetrapeptide-7,481,5
cellulose gum,479,1
palmitic acid,479,1
pyrus malus apple fruit extract,479,2
caprylhydroxamic acid,458,3
sodium polyacrylate,457,2
iron oxides ci 77491,455,9
peg-60 hydrogenated castor oil,444,8
sorbitan isostearate,442,3
citrus aurantium dulcis orange peel oil,441,9
sodium lauroyl lactylate,437,6
sclerotium gum,435,5
bht,433,1
cetearyl glucoside,431,1
glycine soja soybean oil,427,5
coco-caprylate caprate,424,6
