product_id,concern,label,sources,category
12942,wrinkle,0,,mask
6345,oiliness,0,,around eye cream
7592,redness,1,category:facial cleanser,facial cleanser
9630,redness,0,,facial moisturizer treatment
11590,age,0,,facial cleanser
6576,oiliness,1,category:mask|ingredient,mask
12755,redness,0,,serums essences
11980,acne,1,category:mask,mask
1798,moisture,1,category:mask|ingredient,mask
14857,redness,1,category:around eye cream,around eye cream
14928,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
8922,acne,1,category:mask,mask
4627,eyebag,0,,serums essences
4727,wrinkle,0,,facial cleanser
12841,age,1,category:facial moisturizer treatment,facial moisturizer treatment
6841,eyebag,0,,facial moisturizer treatment
3085,oiliness,1,category:mask,mask
13616,redness,0,,serums essences
3043,age,0,,mask
1149,acne,0,,serums essences
13208,wrinkle,0,,mask
5464,oiliness,0,,around eye cream
9589,wrinkle,1,category:serums essences,serums essences
7343,redness,0,,mask
6963,eyebag,0,,serums essences
13402,acne,1,category:mask,mask
9670,age,0,,facial cleanser
8754,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
9172,redness,0,,anti aging
13116,oiliness,0,,around eye cream
14029,eyebag,0,,facial cleanser
10042,age,0,,facial cleanser
2531,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
96,oiliness,0,,makeup remover
673,eyebag,0,,serums essences
8903,eyebag,0,,skin fading lightener
3824,oiliness,1,category:facial cleanser,facial cleanser
9807,moisture,1,ingredient,cc cream
3479,moisture,1,category:serums essences|ingredient,serums essences
10230,eyebag,0,,serums essences
11823,redness,1,ingredient,serums essences
645,acne,0,,serums essences
9982,acne,0,,serums essences
2767,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
8712,oiliness,0,,serums essences
13691,wrinkle,0,,mask
1926,wrinkle,0,,facial cleanser
1055,wrinkle,0,,mask
9792,eyebag,0,,serums essences
9722,acne,1,category:mask,mask
7044,oiliness,0,,serums essences
6247,moisture,0,,toners astringents
15447,redness,0,,mask
5727,redness,0,,mask
2431,wrinkle,1,category:serums essences,serums essences
10022,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
10269,moisture,1,category:mask,mask
11329,acne,0,,facial moisturizer treatment
8736,redness,0,,facial moisturizer treatment
1312,wrinkle,0,,mask
2248,eyebag,0,,toners astringents
12974,oiliness,1,category:toners astringents,toners astringents
363,wrinkle,1,category:serums essences,serums essences
5049,moisture,1,ingredient,facial cleanser
9004,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
14557,acne,0,,facial moisturizer treatment
12420,oiliness,1,category:mask,mask
8108,eyebag,0,,toners astringents
1797,eyebag,0,,mask
15877,moisture,1,ingredient,around eye cream
12726,moisture,1,ingredient,toners astringents
11116,acne,0,,serums essences
15565,moisture,1,category:serums essences,serums essences
8479,acne,0,,facial moisturizer treatment
1544,acne,1,category:facial cleanser,facial cleanser
8930,eyebag,0,,facial cleanser
11627,age,0,,facial cleanser
6386,wrinkle,1,category:facial moisturizer treatment,facial moisturizer treatment
6325,wrinkle,0,,facial cleanser
13540,moisture,1,ingredient,facial cleanser
13770,acne,0,,around eye cream
16102,moisture,1,category:serums essences,serums essences
12886,moisture,1,category:mask,mask
13271,redness,1,category:around eye cream,around eye cream
130,eyebag,0,,facial cleanser
11136,redness,0,,serums essences
11526,moisture,1,category:facial moisturizer treatment|ingredient,facial moisturizer treatment
971,age,0,,facial cleanser
12660,acne,1,ingredient,serums essences
3566,oiliness,0,,around eye cream
4409,moisture,1,category:mask|ingredient,mask
9571,age,0,,facial cleanser
4555,oiliness,1,category:toners astringents,toners astringents
4050,oiliness,1,category:facial cleanser,facial cleanser
6391,eyebag,0,,facial cleanser
15916,wrinkle,0,,facial cleanser
7674,acne,1,category:facial cleanser,facial cleanser
5489,moisture,1,category:makeup remover|ingredient,makeup remover
9197,acne,0,,facial moisturizer treatment
3183,eyebag,1,category:around eye cream|ingredient,around eye cream
9346,age,1,category:anti aging,anti aging
7144,acne,0,,serums essences
4512,redness,1,category:facial cleanser,facial cleanser
13326,acne,0,,makeup remover
9688,eyebag,0,,facial cleanser
12147,redness,0,,facial moisturizer treatment
12086,redness,0,,serums essences
8942,moisture,1,ingredient,facial cleanser
1751,oiliness,1,category:toners astringents,toners astringents
11557,oiliness,1,category:facial cleanser,facial cleanser
3495,oiliness,0,,serums essences
4517,age,0,,facial cleanser
803,eyebag,0,,mask
3518,eyebag,0,,toners astringents
13058,oiliness,0,,skin fading lightener
13175,redness,1,category:facial cleanser,facial cleanser
7802,moisture,0,,facial cleanser
13892,eyebag,0,,serums essences
973,age,1,category:facial moisturizer treatment,facial moisturizer treatment
7493,acne,1,category:mask|ingredient,mask
7435,acne,1,category:facial cleanser,facial cleanser
4409,wrinkle,0,,mask
10132,eyebag,0,,mask
14572,eyebag,0,,anti aging
12274,acne,0,,serums essences
11467,redness,0,,serums essences
14103,moisture,1,category:mask|ingredient,mask
13267,moisture,1,ingredient,facial cleanser
7071,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
2722,redness,1,category:toners astringents,toners astringents
7544,redness,0,,serums essences
15343,oiliness,1,category:mask,mask
10193,acne,0,,facial moisturizer treatment
6423,oiliness,1,category:facial cleanser,facial cleanser
973,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
3837,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
1323,wrinkle,0,,facial cleanser
16397,eyebag,0,,facial cleanser
3649,moisture,1,category:facial moisturizer treatment,facial moisturizer treatment
16069,eyebag,0,,mask
2231,redness,1,category:around eye cream,around eye cream
10496,wrinkle,0,,toners astringents
11313,oiliness,1,category:facial cleanser,facial cleanser
2142,wrinkle,1,category:serums essences,serums essences
3219,oiliness,0,category_negative:facial moisturizer treatment,facial moisturizer treatment
662,wrinkle,0,,facial cleanser
14635,oiliness,0,,serums essences
8145,age,1,category:serums essences,serums essences
12603,age,0,,mask
11119,oiliness,0,,around eye cream
14109,acne,1,category:facial cleanser,facial cleanser
8174,age,0,,mask
4392,acne,1,category:toners astringents,toners astringents
6344,wrinkle,0,,bb cream
4382,wrinkle,1,category:serums essences,serums essences
11332,moisture,1,category:mask|ingredient,mask
12461,acne,0,,facial moisturizer treatment
4112,eyebag,0,,anti aging
11636,acne,1,category:mask,mask
7419,redness,0,,mask
4520,moisture,0,,facial cleanser
14482,moisture,1,category:mask,mask
11197,eyebag,0,,mask
